,T,N,SortTime,CombineTime,
8/21/2013 12:09,64,700,18,33,33
8/21/2013 12:09,64,700,23,35,35
8/21/2013 12:09,64,700,17,26,26
8/21/2013 12:09,64,800,20,31,31
8/21/2013 12:09,64,800,95,37,37
8/21/2013 12:09,64,800,16,39,39
8/21/2013 12:09,64,800,35,38,38
8/21/2013 12:09,64,800,19,31,31
8/21/2013 12:09,64,800,29,31,31
8/21/2013 12:09,64,800,102,37,37
8/21/2013 12:09,64,800,101,31,31
8/21/2013 12:09,64,800,17,31,31
8/21/2013 12:09,64,800,12,39,39
8/21/2013 12:09,64,900,205,32,32
8/21/2013 12:09,64,900,21,36,36
8/21/2013 12:09,64,900,35,33,33
8/21/2013 12:09,64,900,62,48,48
8/21/2013 12:09,64,900,18,43,43
8/21/2013 12:09,64,900,100,77,77
8/21/2013 12:09,64,900,27,38,38
8/21/2013 12:09,64,900,78,68,68
8/21/2013 12:09,64,900,22,34,34
8/21/2013 12:09,64,900,20,40,40
8/21/2013 12:09,128,100,108,133,133
8/21/2013 12:09,128,100,29,141,141
8/21/2013 12:09,128,100,48,45,45
8/21/2013 12:10,128,100,22,43,43
8/21/2013 12:10,128,100,37,33,33
8/21/2013 12:10,128,100,29,40,40
8/21/2013 12:10,128,100,34,33,33
8/21/2013 12:10,128,100,60,37,37
8/21/2013 12:10,128,100,102,34,34
8/21/2013 12:10,128,100,45,43,43
8/21/2013 12:10,128,200,90,33,33
8/21/2013 12:10,128,200,35,38,38
8/21/2013 12:10,128,200,22,43,43
8/21/2013 12:10,128,200,23,39,39
8/21/2013 12:10,128,200,34,43,43
8/21/2013 12:10,128,200,94,40,40
8/21/2013 12:10,128,200,31,51,51
8/21/2013 12:10,128,200,36,50,50
8/21/2013 12:10,128,200,29,36,36
8/21/2013 12:10,128,200,36,40,40
8/21/2013 12:10,128,300,40,41,41
8/21/2013 12:10,128,300,37,39,39
8/21/2013 12:10,128,300,48,34,34
8/21/2013 12:10,128,300,135,39,39
8/21/2013 12:10,128,300,12,41,41
8/21/2013 12:10,128,300,30,42,42
8/21/2013 12:10,128,300,206,389,389
8/21/2013 12:10,128,300,26,306,306
8/21/2013 12:10,128,300,45,94,94
8/21/2013 12:10,128,300,61,102,102
8/21/2013 12:10,128,400,31,158,158
8/21/2013 12:10,128,400,27,50,50
